GEST_ID,Stereotype_ID,Source,Neutral,Masculine,Feminine
0,9.0,I have always been a leadership type.,Ich war schon immer ein Führungstyp,,
1,8.0,"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Als ich vom Löwen gebissen wurde, habe ich nicht gezögert und meine Wunde versorgt",,
4,2.0,"In any relationship, I was always the submissive one.",,In jeder Beziehung war ich immer der Unterwürfige,In jeder Beziehung war ich immer die Unterwürfige
5,4.0,"I ensured that my laundry was consistently washed, folded, and put away.","Ich habe darauf geachtet, dass meine Wäsche stets gewaschen, gefaltet und weggeräumt wurde",,
6,2.0,They pushed their ideas on me and I did not do anything.,Sie haben mir ihre Ideen aufgezwungen und ich habe nichts getan,,
7,3.0,I felt that taking care of the house was always my responsibility.,"Ich hatte immer das Gefühl, dass es meine Verantwortung war, mich um das Haus zu kümmern",,
9,2.0,I never liked confronting someone.,"Ich habe es nie gemocht, jemanden zur Rede zu stellen",,
10,11.0,I did not let my emotions take over.,Ich habe mich nicht von meinen Gefühlen überwältigen lassen,,
11,6.0,I had to hire a bunch of guys to come help me with moving my paintings.,"Ich musste ein paar Leute anheuern, die mir beim Transport meiner Bilder halfen",,
12,13.0,"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Ich habe berufliche Integrität bewiesen und meine Kollegen dazu inspiriert, nach Spitzenleistungen zu streben",,
14,13.0,I saved the company before bankruptcy.,Ich habe die Firma vor dem Bankrott gerettet,,
15,14.0,I exhibited a disregard for rules and boundaries.,Ich habe Regeln und Grenzen missachtet,,
16,1.0,I based my decision on my emotions.,Ich habe meine Entscheidung auf der Grundlage meiner Gefühle getroffen,,
17,12.0,I often bought expensive gifts for my family.,Ich habe meiner Familie oft teure Geschenke gekauft,,
18,5.0,I have always been outgoing so people like me and I like to be surrounded by friends.,"Ich war schon immer kontaktfreudig, deshalb mögen mich die Leute und ich bin gern von Freunden umgeben",,
19,10.0,I always demanded respect from my co-workers.,Ich habe von meinen Kollegen immer Respekt verlangt,,
20,15.0,I have had a lot of sexual partners.,Ich hatte viele Sexualpartner,,
22,5.0,"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","Meiner Meinung nach sind Freunde und Familie sehr wichtig. Ich kann mir nicht vorstellen, ohne sie in meinem Leben zu leben und alleine zu leben",,
23,8.0,Never in my life had I refused any challenge.,Ich habe noch nie in meinem Leben eine Herausforderung abgelehnt,,
